Curvature,Pick Distance,Luas,Keliling,Kepadatan,Bin Tertinggi,Posisi Bin Tertinggi,Label
3.894634,3.785714,917.168335,152.659119,0.039355,21.462067,96.000000,Flat
4.258516,3.312500,898.412903,171.383621,0.030587,21.972471,66.000000,Flat
5.117797,4.076923,755.684998,217.161728,0.016024,22.148182,30.000000,Flat
4.881555,4.076923,768.055908,202.763367,0.018682,20.408575,87.000000,Flat
4.784719,4.500000,768.124512,203.236969,0.018596,20.888229,87.000000,Flat
4.826420,4.500000,769.308472,204.185669,0.018452,20.580730,87.000000,Flat
5.104620,4.818182,768.840027,212.202576,0.017074,20.966564,87.000000,Flat
5.874580,3.294118,763.659424,209.203262,0.017449,21.661165,3.000000,Flat
4.687546,3.312500,759.046265,187.085403,0.021686,20.220909,54.000000,Flat
4.743865,3.714286,765.481812,183.825104,0.022653,21.456032,30.000000,Flat
4.630332,3.666667,766.550293,176.822006,0.024517,20.967430,30.000000,Flat
4.596798,3.466667,770.562012,177.517975,0.024452,20.592421,54.000000,Flat
4.601644,4.230769,840.121826,174.482315,0.027596,21.349117,63.000000,Flat
4.856507,3.235294,765.710693,185.701080,0.022204,21.201942,30.000000,Flat
5.040201,3.437500,791.388000,197.486832,0.020291,21.996023,30.000000,Flat
5.099293,3.437500,808.904846,192.952286,0.021727,22.746101,30.000000,Flat
5.166078,3.437500,805.128784,194.625519,0.021255,22.246832,30.000000,Flat
5.206980,3.235294,789.837769,202.400955,0.019280,22.289705,30.000000,Flat
5.352893,3.055556,785.658569,205.298187,0.018641,22.373623,30.000000,Flat
5.040201,3.437500,791.388000,197.486832,0.020291,21.996023,30.000000,Flat
5.099293,3.437500,808.904846,192.952286,0.021727,22.746101,30.000000,Flat
5.166078,3.437500,805.128784,194.625519,0.021255,22.246832,30.000000,Flat
5.647401,3.312500,764.210083,213.967789,0.016692,21.663832,87.000000,Flat
4.522572,3.111111,904.751099,163.805786,0.033719,21.378923,93.000000,Flat
5.298891,3.294118,766.505615,202.734665,0.018649,21.815630,30.000000,Flat
5.549988,3.058824,765.455444,196.349075,0.019855,20.696058,87.000000,Flat
5.121708,3.352941,750.037903,196.211884,0.019482,20.231653,114.000000,Flat
5.474751,3.352941,746.020508,206.771942,0.017449,19.615097,54.000000,Flat
5.974789,3.166667,759.376709,220.074036,0.015679,21.130161,54.000000,Flat
5.442682,3.562500,763.387207,208.800842,0.017510,20.817043,87.000000,Flat
5.535699,3.352941,751.048035,210.392059,0.016967,20.225924,87.000000,Flat
5.127733,3.235294,719.446899,217.297134,0.015237,21.806950,30.000000,Flat
6.479479,3.733333,647.536072,233.092575,0.011918,19.992403,138.000000,Flat
6.309815,4.307693,641.854126,224.657791,0.012717,20.006268,138.000000,Flat
4.383493,3.312500,851.598877,173.091171,0.028424,22.272762,63.000000,Flat
5.474205,3.466667,751.201233,195.228439,0.019709,20.164349,54.000000,Flat
5.364144,3.250000,759.586304,189.173630,0.021225,20.280891,54.000000,Flat
5.023434,3.187500,737.239563,180.975098,0.022510,20.165596,54.000000,Flat
5.048209,3.058824,780.569519,187.254700,0.022261,20.324160,87.000000,Flat
4.746322,3.533333,771.398560,184.905869,0.022562,20.677540,30.000000,Flat
3.828199,4.416667,769.403259,161.827179,0.029380,21.405737,87.000000,Flat
4.009407,3.785714,775.567566,165.083588,0.028458,21.478624,87.000000,Flat
4.123631,4.000000,766.105225,161.487823,0.029377,20.417969,87.000000,Flat
4.053479,4.230769,876.310669,150.945282,0.038461,22.139545,90.000000,Flat
4.559714,3.500000,895.091003,176.906006,0.028601,21.385019,93.000000,Flat
5.249170,3.117647,880.565552,196.459686,0.022815,21.745562,90.000000,Flat
4.559714,3.500000,895.091003,176.906006,0.028601,21.385019,93.000000,Flat
4.158412,4.153846,907.653198,155.223907,0.037671,21.679010,39.000000,Flat
3.689875,3.857143,882.686218,159.908112,0.034520,21.710255,66.000000,Flat
3.397917,4.307693,889.358398,142.613846,0.043727,21.202421,117.000000,Flat
4.827048,3.562500,889.540894,187.536942,0.025293,21.237156,60.000000,Flat
4.234166,3.312500,928.009216,163.251694,0.034821,22.884289,87.000000,Flat
4.674255,3.294118,863.452881,178.317719,0.027155,21.324039,123.000000,Flat
4.406131,3.312500,916.813416,169.484924,0.031917,21.550097,123.000000,Flat
3.788099,3.562500,914.921448,150.325409,0.040487,21.720308,60.000000,Flat
4.883981,3.785714,859.066101,195.320023,0.022518,21.496759,111.000000,Flat
4.724178,3.312500,889.963745,166.865784,0.031962,21.716606,84.000000,Flat
4.845079,4.076923,905.379578,171.112518,0.030922,21.702885,90.000000,Flat
4.704756,3.533333,884.425964,174.535278,0.029033,22.008930,123.000000,Flat
4.774898,3.562500,920.842651,180.017914,0.028415,21.944368,123.000000,Flat
3.576196,3.312500,869.589600,136.699066,0.046535,21.028553,63.000000,Flat
4.037694,3.500000,878.073730,153.460678,0.037285,22.028442,87.000000,Flat
4.200732,3.500000,876.788330,169.813461,0.030405,21.971420,90.000000,Flat
4.742289,4.076923,834.593018,200.069672,0.020850,21.734638,84.000000,Flat
4.442773,3.500000,900.744080,166.182739,0.032616,21.506018,36.000000,Flat
4.216754,3.312500,924.935974,156.662399,0.037686,21.936363,60.000000,Flat
4.505222,3.666667,871.038574,171.871964,0.029487,21.815449,90.000000,Flat
4.397958,3.666667,905.281250,166.038681,0.032837,21.889832,111.000000,Flat
4.426699,3.785714,863.342712,183.426407,0.025660,21.659542,66.000000,Flat
3.335222,3.533333,882.187439,130.065704,0.052148,21.184952,60.000000,Flat
4.121176,3.294118,958.366516,167.510986,0.034154,22.413570,66.000000,Flat
3.721225,3.294118,891.059753,139.039825,0.046092,21.677544,96.000000,Flat
4.748743,3.437500,896.049377,178.688507,0.028063,21.837618,66.000000,Flat
4.455641,3.857143,918.869080,178.194580,0.028938,22.207003,123.000000,Flat
3.871557,4.416667,843.619751,158.179764,0.033717,21.234856,87.000000,Flat
3.494111,3.600000,880.612915,141.577652,0.043933,20.937677,96.000000,Flat
4.108723,3.785714,891.567566,165.306061,0.032627,21.453362,96.000000,Flat
4.468846,3.312500,888.994995,167.824646,0.031564,21.116119,66.000000,Flat
4.109807,3.352941,915.022156,159.818405,0.035824,22.145298,66.000000,Flat
5.327667,4.230769,838.278076,208.138550,0.019350,21.617746,84.000000,Flat
3.026010,4.818182,840.756714,124.984520,0.053822,21.231766,69.000000,Flat
3.460431,4.416667,873.526611,148.023682,0.039867,21.253063,108.000000,Flat
3.670208,3.533333,930.367249,146.059189,0.043611,22.193844,123.000000,Flat
3.670208,3.533333,930.367249,146.059189,0.043611,22.193844,123.000000,Flat
3.853400,3.800000,889.675049,146.069916,0.041697,21.664957,87.000000,Flat
2.642223,4.636364,924.471069,116.783760,0.067784,21.339455,96.000000,Flat
5.012167,3.294118,890.627563,188.873749,0.024966,23.287033,87.000000,Flat
4.894907,3.312500,920.142700,179.569824,0.028536,22.646540,111.000000,Flat
4.602530,4.230769,844.655334,195.564911,0.022085,23.155634,111.000000,Flat
4.480484,3.294118,906.388428,159.748215,0.035517,21.483982,66.000000,Flat
3.972832,3.294118,914.022095,145.876892,0.042952,21.549603,87.000000,Flat
4.744910,3.235294,900.450562,174.242432,0.029659,21.091440,108.000000,Flat
3.925847,4.000000,865.494324,161.113602,0.033343,21.986965,87.000000,Flat
3.953549,4.076923,875.248657,152.702881,0.037535,20.481447,87.000000,Flat
3.596148,4.416667,872.265991,134.810089,0.047996,22.609617,87.000000,Flat
3.575157,3.562500,897.526855,129.698273,0.053355,21.454931,72.000000,Flat
3.891153,4.076923,837.257141,152.469864,0.036016,19.915827,27.000000,Flat
3.441125,4.416667,939.665283,142.867157,0.046037,22.957457,90.000000,Flat
4.470866,3.533333,919.427002,170.822311,0.031509,21.650740,60.000000,Flat
4.581730,3.312500,861.331177,166.443237,0.031091,21.294201,87.000000,Flat
4.404398,3.666667,879.607422,165.993484,0.031923,21.892614,90.000000,Flat
3.579279,4.076923,855.931091,143.132996,0.041779,21.433304,87.000000,Flat
4.202661,3.533333,905.057190,167.129608,0.032402,21.197332,111.000000,Flat
4.144868,3.533333,876.206177,151.267731,0.038293,20.581303,87.000000,Flat
3.779526,3.500000,877.112122,141.702118,0.043682,21.168139,111.000000,Flat
3.609504,3.733333,942.032898,134.622284,0.051980,22.024723,69.000000,Flat
4.330196,3.562500,858.687988,173.983521,0.028367,22.131382,114.000000,Flat
4.634214,4.818182,845.785156,193.535187,0.022581,22.382069,111.000000,Flat
3.924524,4.071429,899.726685,160.542236,0.034909,21.724318,36.000000,Flat
4.265691,3.857143,847.922302,171.778595,0.028735,21.119637,96.000000,Flat
3.665930,4.384615,867.102478,154.999496,0.036092,21.151430,90.000000,Flat
4.315810,3.600000,896.641113,156.806854,0.036466,21.230831,108.000000,Flat
4.386354,3.000000,756.263428,171.139343,0.025821,21.068283,54.000000,Flat
4.423892,3.312500,765.097778,170.720215,0.026251,21.506485,30.000000,Flat
4.320305,4.230769,771.529480,171.535431,0.026221,21.400251,30.000000,Flat
4.161922,3.857143,775.389099,168.839371,0.027200,21.798372,30.000000,Flat
4.394428,4.076923,771.838074,173.449219,0.025656,21.305965,30.000000,Flat
5.284997,3.055556,775.388672,185.792740,0.022463,22.636438,30.000000,Flat
5.315759,3.437500,773.278320,194.159821,0.020512,23.118599,30.000000,Flat
4.541805,3.235294,870.344543,163.462524,0.032573,21.394529,108.000000,Flat
5.418310,3.055556,777.169189,194.977036,0.020443,23.622545,30.000000,Flat
5.205876,3.055556,778.689270,187.513336,0.022146,23.448042,30.000000,Flat
5.688124,3.187500,774.688843,212.185669,0.017207,23.428991,30.000000,Flat
5.284997,3.055556,775.388672,185.792740,0.022463,22.636438,30.000000,Flat
5.315759,3.437500,773.278320,194.159821,0.020512,23.118599,30.000000,Flat
5.418310,3.055556,777.169189,194.977036,0.020443,23.622545,30.000000,Flat
5.205876,3.055556,778.689270,187.513336,0.022146,23.448042,30.000000,Flat
6.081652,4.666667,696.570679,242.009399,0.011893,21.859583,30.000000,Flat
6.502143,3.500000,692.446777,251.822205,0.010919,21.724325,30.000000,Flat
6.438617,3.733333,699.134521,250.748657,0.011119,22.274086,30.000000,Flat
4.818835,4.153846,858.360840,195.398804,0.022482,22.344786,90.000000,Flat
6.439068,3.733333,699.599609,246.122330,0.011549,21.341007,30.000000,Flat
6.569534,3.733333,706.822632,253.831863,0.010970,22.124878,30.000000,Flat
6.037668,3.500000,680.759644,226.919708,0.013221,20.048952,30.000000,Flat
6.681868,3.500000,678.561279,241.162445,0.011667,20.475073,90.000000,Flat
6.522613,3.500000,672.799316,236.716553,0.012007,20.109486,90.000000,Flat
6.746017,3.733333,677.787292,245.117859,0.011281,19.945721,138.000000,Flat
6.779074,3.500000,676.488831,242.385971,0.011515,20.304110,81.000000,Flat
4.556379,3.166667,754.000610,180.733521,0.023083,20.131962,87.000000,Flat
4.750964,3.562500,737.107056,178.871490,0.023038,20.117929,30.000000,Flat
4.894098,3.562500,745.289673,181.961487,0.022510,20.068378,87.000000,Flat
4.731373,3.117647,881.661072,169.637222,0.030638,20.412697,60.000000,Normal
4.315219,3.533333,902.243408,171.585754,0.030645,21.780111,93.000000,Normal
3.764734,4.307693,839.283142,145.768646,0.039498,20.302605,111.000000,Normal
3.811030,4.818182,853.608582,163.055420,0.032106,21.576878,90.000000,Normal
5.221910,3.294118,873.561096,192.684235,0.023529,21.771439,66.000000,Normal
4.644297,3.312500,891.002136,178.067719,0.028100,22.198624,87.000000,Normal
4.637855,3.312500,839.724670,170.451294,0.028903,21.505341,87.000000,Normal
3.893270,3.312500,920.266479,146.598907,0.042821,21.480217,93.000000,Normal
4.858112,3.294118,865.803711,174.467926,0.028444,20.956293,90.000000,Normal
4.824041,3.294118,881.983032,183.344238,0.026238,20.805038,108.000000,Normal
4.795116,3.500000,861.438232,177.709900,0.027277,21.506794,66.000000,Normal
4.586496,3.733333,858.160583,178.637421,0.026892,21.176962,63.000000,Normal
4.894842,3.312500,842.532715,181.772446,0.025499,22.121838,39.000000,Normal
4.756880,3.533333,848.418762,177.498383,0.026929,20.137260,108.000000,Normal
4.478428,3.294118,831.323730,166.360260,0.030038,20.719654,111.000000,Normal
4.378489,3.437500,843.289368,167.841080,0.029935,21.121689,87.000000,Normal
4.373201,3.111111,896.080750,155.864304,0.036885,21.506931,63.000000,Normal
5.533846,3.785714,783.457764,210.776993,0.017635,19.630188,27.000000,Normal
4.544343,3.111111,889.979553,161.315399,0.034200,22.018904,87.000000,Normal
4.418554,3.250000,898.439331,167.111206,0.032172,21.830475,87.000000,Normal
4.494750,3.312500,841.461060,170.341461,0.029000,19.659122,3.000000,Normal
4.777643,4.333333,855.966064,193.552261,0.022849,22.437569,114.000000,Normal
4.585539,3.312500,824.717651,176.249146,0.026549,20.764040,66.000000,Normal
4.411833,3.117647,897.303589,166.195023,0.032487,21.213989,66.000000,Normal
5.645029,3.352941,728.129883,210.899994,0.016370,20.128326,54.000000,Normal
5.807061,3.111111,743.768799,205.810852,0.017559,20.922575,54.000000,Normal
5.871634,3.294118,734.726074,207.925797,0.016995,20.453804,54.000000,Normal
5.958698,2.947368,743.163940,207.889893,0.017196,21.374380,54.000000,Normal
5.580347,3.785714,763.879395,208.714447,0.017536,20.763680,87.000000,Normal
5.659916,3.600000,766.368347,210.637299,0.017273,21.243116,87.000000,Normal
5.711824,3.312500,761.007263,210.497787,0.017175,20.574772,87.000000,Normal
6.102379,3.117647,759.020142,232.884369,0.013995,20.662514,87.000000,Normal
5.677831,3.375000,785.168213,196.684586,0.020297,21.866903,87.000000,Normal
4.961840,3.733333,740.944397,200.799805,0.018376,20.853592,87.000000,Normal
5.624787,3.294118,866.005249,199.698944,0.021715,21.588997,57.000000,Normal
5.262494,3.733333,740.383789,211.397003,0.016568,21.218464,87.000000,Normal
5.421737,3.800000,757.307007,217.795959,0.015965,20.964235,87.000000,Normal
3.986082,3.533333,903.898926,162.628464,0.034176,22.982180,63.000000,Normal
5.264999,3.176471,885.158325,194.929825,0.023295,21.315943,90.000000,Normal
5.011977,3.437500,905.094971,185.027374,0.026438,22.362097,27.000000,Normal
4.638799,3.857143,860.270325,190.013275,0.023827,21.811993,90.000000,Normal
4.391214,3.785714,909.250549,164.059967,0.033781,21.147797,63.000000,Normal
4.277179,3.111111,880.135681,162.092545,0.033498,21.775940,60.000000,Normal
3.511412,4.818182,884.782471,151.407669,0.038596,21.761597,90.000000,Normal
4.387007,4.000000,868.235352,168.682724,0.030514,21.156162,63.000000,Normal
4.578073,3.294118,901.294922,167.163269,0.032254,21.776794,96.000000,Normal
3.754097,4.071429,886.511353,154.503250,0.037137,20.921257,96.000000,Normal
5.221734,3.111111,906.861633,195.637619,0.023694,22.076233,90.000000,Normal
3.655661,3.500000,916.459106,132.325119,0.052339,20.355350,72.000000,Normal
5.431927,3.111111,864.541138,198.377731,0.021968,21.590700,66.000000,Normal
5.537110,2.947368,860.096008,189.322678,0.023996,21.280455,114.000000,Normal
4.609166,3.533333,919.322205,169.119415,0.032143,22.034603,123.000000,Normal
5.672138,3.733333,706.824463,228.855148,0.013496,22.061762,87.000000,Normal
5.536139,3.733333,711.147644,224.226212,0.014144,22.158875,87.000000,Normal
5.369665,3.733333,718.268372,223.140091,0.014426,21.816647,87.000000,Normal
5.428466,4.307693,717.595398,222.565918,0.014486,21.440327,87.000000,Normal
3.753555,4.076923,861.699036,147.031525,0.039860,21.139217,63.000000,Normal
5.637676,4.000000,718.478577,229.960754,0.013586,21.563965,87.000000,Normal
5.177902,3.733333,742.099487,206.614624,0.017384,21.115112,87.000000,Normal
5.261686,4.071429,755.907715,216.568817,0.016117,21.411072,87.000000,Normal
5.745902,2.944444,750.282532,203.684586,0.018085,19.484995,30.000000,Normal
5.848244,3.117647,756.474365,207.805603,0.017518,19.967766,6.000000,Normal
5.743387,3.312500,753.091309,206.189346,0.017714,19.192509,6.000000,Normal
5.913075,2.944444,745.358154,207.692566,0.017279,19.171391,6.000000,Normal
5.938725,3.117647,759.435364,211.965332,0.016903,20.738049,30.000000,Normal
6.020141,3.294118,772.334290,222.599167,0.015587,21.325285,30.000000,Normal
5.811451,3.500000,760.838440,207.798004,0.017620,20.280796,54.000000,Normal
4.331322,3.666667,859.610229,168.325775,0.030339,20.362549,114.000000,Normal
5.922322,3.294118,751.859192,206.454926,0.017639,21.222248,54.000000,Normal
5.218602,3.111111,886.810913,196.894073,0.022875,22.307970,66.000000,Normal
4.450432,3.312500,891.472839,165.584335,0.032514,21.930029,66.000000,Normal
4.948191,3.500000,872.770020,174.357513,0.028709,20.228947,66.000000,Normal
5.400910,3.500000,853.045288,200.244095,0.021274,21.866430,87.000000,Normal
4.657874,3.117647,930.745972,163.807648,0.034687,22.119179,66.000000,Normal
3.839540,3.928571,887.345459,157.349670,0.035839,22.486792,90.000000,Normal
4.418165,4.071429,874.498657,169.229401,0.030536,22.346090,87.000000,Normal
4.928933,3.400000,734.237671,187.681152,0.020845,21.629065,57.000000,Normal
4.455243,4.000000,950.282349,174.990234,0.031033,22.924822,66.000000,Normal
4.858529,2.944444,855.816162,177.675812,0.027110,21.497099,66.000000,Normal
4.785192,3.500000,896.637390,179.979416,0.027680,21.556385,90.000000,Normal
4.963820,3.533333,877.646973,180.110596,0.027055,22.111877,111.000000,Normal
5.890323,3.117647,869.632874,209.680283,0.019780,21.811897,87.000000,Normal
4.271078,3.785714,874.934082,172.066574,0.029552,21.929527,93.000000,Normal
4.606990,4.416667,841.194458,191.469894,0.022945,20.647793,63.000000,Normal
4.574080,3.500000,848.558228,168.467377,0.029899,20.975842,60.000000,Normal
5.224455,3.055556,887.125183,188.769852,0.024895,21.639469,96.000000,Normal
4.939931,3.111111,820.081421,176.912750,0.026202,20.845501,90.000000,Normal
4.206284,3.666667,856.177673,166.554428,0.030864,20.434914,60.000000,Normal
4.165392,3.294118,858.094604,157.038940,0.034795,20.685581,87.000000,Normal
4.036594,3.117647,875.453369,148.910233,0.039481,20.886711,60.000000,Normal
4.154183,3.562500,849.005066,157.847473,0.034075,21.371037,84.000000,Normal
4.929839,4.076923,826.670654,195.262955,0.021682,21.620865,114.000000,Normal
5.471346,3.000000,875.137329,191.671616,0.023821,20.911860,96.000000,Normal
3.397649,4.076923,882.828796,142.536285,0.043454,21.502069,90.000000,Normal
5.243335,3.533333,899.989746,198.929489,0.022743,22.869688,87.000000,Normal
4.793484,3.111111,845.316895,175.439804,0.027464,21.774523,90.000000,Normal
4.200129,3.111111,843.020630,153.214630,0.035912,19.834545,108.000000,Normal
5.524425,3.500000,836.296875,206.685699,0.019577,21.091221,63.000000,Normal
3.970570,4.416667,896.386353,168.009247,0.031756,21.936327,90.000000,Normal
5.610244,3.117647,800.518066,198.982269,0.020218,20.106083,108.000000,Normal
4.768307,3.785714,846.400940,187.014160,0.024201,21.714449,87.000000,Normal
5.843791,3.117647,825.367310,214.319122,0.017969,20.876995,66.000000,Normal
4.719752,3.500000,885.199890,181.326630,0.026923,21.385077,96.000000,Normal
4.541025,3.533333,895.323059,179.868408,0.027674,22.262165,66.000000,Normal
4.726259,3.733333,850.101562,184.305161,0.025026,20.992153,60.000000,Normal
4.974965,2.944444,887.305908,182.467377,0.026650,21.534542,90.000000,Normal
4.428308,4.818182,840.983887,184.744980,0.024640,21.988636,90.000000,Normal
4.122633,3.500000,852.401733,147.223923,0.039327,21.007137,60.000000,Normal
5.291455,3.533333,817.930298,200.554840,0.020335,20.533678,63.000000,Normal
4.266811,4.307693,829.931030,167.034149,0.029746,20.061344,93.000000,Normal
4.660214,3.733333,855.654053,176.149399,0.027576,20.427118,84.000000,Normal
5.476317,3.166667,819.868347,194.987122,0.021564,21.212458,84.000000,Normal
4.843379,4.000000,823.622009,171.644791,0.027955,20.035585,27.000000,Normal
4.648128,4.076923,834.972168,194.073380,0.022169,22.319210,90.000000,Normal
5.176402,3.294118,902.223755,185.080078,0.026339,22.208147,108.000000,Normal
5.211447,3.117647,889.573975,187.366302,0.025340,22.126234,66.000000,Normal
4.173702,3.294118,833.445374,154.740814,0.034807,20.266344,87.000000,Normal
5.694125,3.785714,800.712280,217.944580,0.016857,21.093336,60.000000,Normal
4.843052,2.800000,874.629883,173.160126,0.029169,21.879612,36.000000,Normal
4.337856,4.307693,846.376953,180.576385,0.025956,20.879524,63.000000,Normal
5.100986,3.533333,841.766479,188.418091,0.023711,21.420540,27.000000,Normal
5.164498,2.947368,845.319397,188.828064,0.023708,21.533182,87.000000,Normal
5.099622,2.947368,891.378418,174.264450,0.029352,21.699802,33.000000,Normal
5.655115,2.789474,866.703613,203.017456,0.021028,21.795998,117.000000,Normal
5.731898,3.055556,815.131348,200.843903,0.020207,20.167330,84.000000,Normal
5.518842,3.166667,828.166565,184.027832,0.024454,21.060219,96.000000,Normal
4.874542,3.733333,825.337341,186.725357,0.023671,22.300625,108.000000,Normal
4.900119,4.000000,784.850342,198.641846,0.019890,21.175180,84.000000,Normal
4.085375,3.117647,837.696167,157.034302,0.033970,22.381294,87.000000,Normal
5.060720,5.000000,821.740540,201.671860,0.020204,22.222187,123.000000,Normal
5.331873,3.500000,855.216003,202.929718,0.020768,20.348488,63.000000,Normal
5.174538,3.533333,851.736084,197.688095,0.021794,20.657780,27.000000,Normal
4.880775,3.111111,878.387817,183.720184,0.026024,22.530830,66.000000,Normal
5.096498,2.947368,853.250488,182.204880,0.025701,20.827713,36.000000,Normal
4.528195,3.312500,864.668335,169.673615,0.030035,22.081238,87.000000,Normal
5.288148,2.944444,856.665283,186.066025,0.024744,20.482430,60.000000,Normal
4.620509,3.437500,872.649536,163.198212,0.032765,21.655191,66.000000,Normal
6.096263,3.312500,771.086914,221.122345,0.015770,20.576725,54.000000,Normal
4.163434,4.333333,832.208557,181.936493,0.025142,21.615026,93.000000,Normal
4.442129,3.533333,907.894836,170.260941,0.031319,22.099087,90.000000,Normal
5.597806,2.944444,831.880432,204.290924,0.019933,20.902105,123.000000,Normal
5.007102,3.500000,844.131897,192.269836,0.022834,22.054859,63.000000,Normal
5.173797,3.437500,855.586304,183.351593,0.025450,21.669468,123.000000,Normal
4.620688,3.294118,850.881470,170.345261,0.029323,21.071754,66.000000,Normal
4.523406,4.071429,848.266785,173.997055,0.028019,21.219437,87.000000,Normal
4.809842,3.294118,844.200500,178.705109,0.026435,20.829893,66.000000,Normal
4.787436,4.416667,835.570312,196.672256,0.021602,20.953798,63.000000,Normal
4.498424,3.294118,873.002075,173.952728,0.028850,22.720617,66.000000,Normal
4.678595,3.666667,842.526550,174.217102,0.027759,21.504179,90.000000,Normal
4.836306,3.294118,811.591736,170.490509,0.027921,19.808121,87.000000,Normal
4.396309,3.785714,805.166260,171.837540,0.027268,19.714226,60.000000,Normal
5.901300,3.533333,790.343750,222.692871,0.015937,20.484093,54.000000,Normal
4.454139,3.294118,882.410400,169.322510,0.030778,21.629665,87.000000,Normal
4.379650,3.117647,875.937317,163.846588,0.032629,20.295887,111.000000,Normal
5.245387,3.533333,803.797607,203.281448,0.019451,21.983562,111.000000,Normal
5.014673,3.312500,887.634277,181.885284,0.026831,21.743959,66.000000,Normal
4.420537,3.312500,896.554565,163.151505,0.033682,22.013424,123.000000,Normal
6.153546,2.650000,895.805420,214.510651,0.019468,22.150866,69.000000,Normal
4.952097,3.117647,834.610718,187.925262,0.023633,21.511627,87.000000,Normal
4.736789,4.076923,820.836914,200.329880,0.020453,22.254059,60.000000,Normal
4.704092,3.111111,906.183899,164.860168,0.033341,22.234333,39.000000,Normal
4.136228,4.818182,829.350891,177.490112,0.026326,21.533203,111.000000,Normal
4.300099,4.230769,886.081726,178.394043,0.027843,21.811472,63.000000,Normal
4.974874,3.533333,881.688416,190.005295,0.024422,21.749126,90.000000,Normal
4.946176,4.076923,842.355713,191.560883,0.022955,21.891178,63.000000,Normal
5.581588,3.500000,691.888428,220.328827,0.014253,20.222574,63.000000,Normal
